ticker,entry_date,exit_date,entry_price,exit_price,pnl_pct,pnl_amount,hold_days,exit_reason,source
025320,2023-07-10,2023-07-07,3030.0,2797.2000000000003,-0.09040633899455497,-1355950.4356799962,-1,SAT1_TRAIL,SAT1
084650,2023-07-10,2023-07-07,4025.0,3802.5,-0.06917107126658084,-1037386.4715,-1,SAT1_TRAIL,SAT1
182400,2023-07-10,2023-07-10,14624.0,13414.5,-0.09619477974674462,-1442798.380649999,0,SAT1_TRAIL,SAT1
273060,2023-07-12,2023-07-11,2070.0,2331.0,0.10952849953562716,1630244.3688000012,-1,SAT2_TRAIL,SAT2
001570,2023-07-12,2023-07-11,101300.0,97920.0,-0.04758002892354685,-703421.9700000002,-1,SAT2_TRAIL,SAT2
261200,2023-07-12,2023-07-11,14930.0,14391.0,-0.050275373501576626,-747935.3969999995,-1,SAT2_TRAIL,SAT2
045300,2023-07-17,2023-07-14,6086.0,5477.400000000001,-0.11323397913561828,-1685500.0505999965,-1,SAT1_TRAIL,SAT1
007810,2023-07-17,2023-07-14,21250.0,19125.0,-0.1132339791356185,-1685616.2999999996,-1,SAT1_TRAIL,SAT1
323280,2023-07-17,2023-07-14,3678.0,3689.1,-0.011730853854513335,-174183.81182999891,-1,SAT2_TRAIL,SAT2
042700,2023-07-17,2023-07-14,45000.0,45090.0,-0.01273383010432183,-188596.2689999986,-1,SAT2_TRAIL,SAT2
083650,2023-07-17,2023-07-14,11040.0,10503.0,-0.06263048337977062,-929769.0264000003,-1,SAT2_TRAIL,SAT2
099190,2023-07-20,2023-07-19,33600.0,35595.0,0.043797503725782505,645786.4140000008,-1,SAT2_TRAIL,SAT2
950210,2023-07-20,2023-07-19,12420.0,13050.0,0.035274339978545344,520326.8999999999,-1,SAT2_TRAIL,SAT2
087010,2023-07-20,2023-07-19,25923.0,23330.7,-0.11323397913561828,-1669261.0351499973,-1,SAT2_TRAIL,SAT2
242040,2023-07-24,2023-07-21,3115.0,3163.5,0.000636456930433793,9382.605900001628,-1,SAT1_TRAIL,SAT1
